Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-04-03,11.494791666666666,11.494791666666666,False,0,2021,4,Spring,6.0,76.0,1.9,0.0,8.2,31.0,1034.4,14.66,47.0,30.2,1.85,0.5150380749100542,0.8571673007021123
2021-04-04,16.053583333333332,16.053583333333332,False,1,2021,4,Spring,6.0,84.0,3.4,0.0,13.6,269.0,1025.9,11.76,69.0,49.0,1.53,-0.9998476951563913,-0.017452406437283498
2021-04-05,3.779458333333333,3.779458333333333,False,0,2021,4,Spring,4.7,54.0,-4.2,0.8,22.9,316.0,1019.6,18.62,43.0,57.2,2.61,-0.6946583704589976,0.7193398003386509
2021-04-06,3.6979583333333337,3.6979583333333337,False,0,2021,4,Spring,2.1,63.0,-4.5,0.3,16.8,319.0,1021.2,16.89,18.0,59.8,1.96,-0.6560590289905074,0.7547095802227719
2021-04-07,6.277583333333333,6.277583333333333,False,0,2021,4,Spring,2.2,63.0,-4.3,0.0,11.4,305.0,1023.2,12.6,52.0,38.2,1.67,-0.8191520442889918,0.573576436351046
2021-04-08,4.914499999999999,4.914499999999999,False,0,2021,4,Spring,7.1,72.0,2.4,1.2,19.4,234.0,1017.7,7.97,96.0,50.8,1.67,-0.8090169943749473,-0.5877852522924732
2021-04-09,5.346875,5.346875,False,0,2021,4,Spring,6.3,70.0,0.9,1.6,12.8,286.0,1012.5,12.86,62.0,49.3,1.92,-0.9612616959383188,0.2756373558169994
2021-04-10,8.988833333333334,8.988833333333334,False,0,2021,4,Spring,2.8,81.0,-0.3,3.0,5.8,51.0,1015.9,13.34,49.0,24.1,1.51,0.7771459614569709,0.6293203910498375
2021-04-11,4.203916666666667,4.203916666666667,False,0,2021,4,Spring,2.9,73.0,-1.9,0.9,8.7,333.0,1020.6,18.94,30.0,33.8,2.05,-0.45399049973954697,0.8910065241883678
2021-04-12,6.848458333333333,6.848458333333333,False,0,2021,4,Spring,2.5,70.0,-3.2,0.0,7.1,303.0,1028.2,19.84,17.0,26.3,2.33,-0.8386705679454243,0.5446390350150266
